CAD,Date
2.5455,30/11/2022
2.5491,29/11/2022
2.5589,28/11/2022
2.5587,25/11/2022
2.5614,24/11/2022
2.5724,23/11/2022
2.5946,22/11/2022
2.5809,21/11/2022
2.6068,18/11/2022
2.586,17/11/2022
2.5791,16/11/2022
2.5865,15/11/2022
2.5855,14/11/2022
2.5933,11/11/2022
2.6272,10/11/2022
2.6378,9/11/2022
2.6173,8/11/2022
2.6239,7/11/2022
2.612,4/11/2022
2.5887,3/11/2022
2.6005,2/11/2022
2.5801,31/10/2022
2.6049,28/10/2022
2.5919,27/10/2022
2.5903,26/10/2022
2.5898,25/10/2022
2.5939,24/10/2022
2.5754,21/10/2022
2.5836,20/10/2022
2.5668,19/10/2022
2.5695,18/10/2022
2.575,14/10/2022
2.5884,13/10/2022
2.5852,12/10/2022
2.5884,11/10/2022
2.5694,7/10/2022
2.5876,6/10/2022
2.6096,3/10/2022
2.5922,30/09/2022
2.5815,29/09/2022
2.5705,28/09/2022
2.5822,23/09/2022
2.5783,22/09/2022
2.5901,21/09/2022
2.5895,20/09/2022
2.5908,19/09/2022
2.5917,16/09/2022
2.6094,15/09/2022
2.6034,14/09/2022
2.5864,13/09/2022
2.6102,12/9/2022
2.6291,9/9/2022
2.612,8/9/2022
2.6097,7/9/2022
2.6023,6/9/2022
2.597,5/9/2022
2.5678,2/9/2022
2.5524,1/9/2022
2.5481,31/08/2022
2.542,30/08/2022
2.5444,29/08/2022
2.5157,26/08/2022
2.5442,25/08/2022
2.523,24/08/2022
2.5202,23/08/2022
2.5266,22/08/2022
2.5097,19/08/2022
2.5148,18/08/2022
2.5287,17/08/2022
2.5349,16/08/2022
2.5309,15/08/2022
2.543,12/8/2022
2.5522,11/8/2022
2.5559,10/8/2022
2.5714,9/8/2022
2.5788,8/8/2022
2.5885,5/8/2022
2.6094,4/8/2022
2.6181,3/8/2022
2.6201,2/8/2022
2.6481,1/8/2022
2.6505,29/07/2022
2.6769,28/07/2022
2.6649,27/07/2022
2.6751,26/07/2022
2.6741,25/07/2022
2.6738,22/07/2022
2.6721,21/07/2022
2.6751,20/07/2022
2.6528,19/07/2022
2.6597,18/07/2022
2.6541,15/07/2022
2.6475,14/07/2022
2.6687,13/07/2022
2.6721,12/7/2022
2.6725,11/7/2022
2.6724,8/7/2022
2.6895,7/7/2022
2.6935,6/7/2022
2.721,5/7/2022
2.7226,4/7/2022
2.7274,1/7/2022
2.7076,30/06/2022
2.6824,29/06/2022
2.6774,28/06/2022
2.6347,27/06/2022
2.6505,24/06/2022
2.6592,23/06/2022
2.6699,22/06/2022
2.6709,21/06/2022
2.659,20/06/2022
2.6704,17/06/2022
2.6767,16/06/2022
2.6733,15/06/2022
2.6643,14/06/2022
2.6757,13/06/2022
2.6544,10/6/2022
2.6556,9/6/2022
2.6624,8/6/2022
2.6513,7/6/2022
2.6511,6/6/2022
2.6407,2/6/2022
2.6291,1/6/2022
2.635,31/05/2022
2.6135,30/05/2022
2.6316,27/05/2022
2.6221,26/05/2022
2.6132,25/05/2022
2.6193,24/05/2022
2.6268,23/05/2022
2.625,20/05/2022
2.6437,19/05/2022
2.6124,18/05/2022
2.6238,17/05/2022
2.6451,16/05/2022
2.6236,13/05/2022
2.6596,12/5/2022
2.6425,11/5/2022
2.6628,10/5/2022
2.6575,9/5/2022
2.6576,6/5/2022
2.6195,4/5/2022
2.6147,3/5/2022
2.6024,2/5/2022
2.6044,29/04/2022
2.5831,28/04/2022
2.5907,27/04/2022
2.5808,26/04/2022
2.5776,25/04/2022
2.5811,21/04/2022
2.5731,20/04/2022
2.5733,19/04/2022
2.5504,14/04/2022
2.5361,13/04/2022
2.5423,12/4/2022
2.5486,11/4/2022
2.5602,8/4/2022
2.5728,7/4/2022
2.5814,6/4/2022
2.5729,5/4/2022
2.5672,4/4/2022
2.5626,1/4/2022
2.5356,31/03/2022
2.5545,30/03/2022
2.5758,29/03/2022
2.5814,28/03/2022
2.569,25/03/2022
2.5638,24/03/2022
2.5643,23/03/2022
2.562,22/03/2022
2.5677,21/03/2022
2.5693,16/03/2022
2.5611,15/03/2022
2.5625,14/03/2022
2.5545,11/3/2022
2.553,10/3/2022
2.559,9/3/2022
2.5748,8/3/2022
2.5795,7/3/2022
2.5527,4/3/2022
2.5652,3/3/2022
2.5458,2/3/2022
2.5469,1/3/2022
2.5441,28/02/2022
2.5441,25/02/2022
2.5466,24/02/2022
2.5354,23/02/2022
2.5286,22/02/2022
2.5179,21/02/2022
2.518,18/02/2022
2.5103,17/02/2022
2.5086,16/02/2022
2.5349,15/02/2022
2.5538,14/02/2022
2.5419,11/2/2022
2.5416,10/2/2022
2.5337,9/2/2022
2.5367,8/2/2022
2.5124,7/2/2022
2.5165,4/2/2022
2.5084,3/2/2022
2.4916,2/2/2022
2.4957,1/2/2022
2.5045,31/01/2022
2.5023,28/01/2022
2.5157,27/01/2022
2.5277,26/01/2022
2.517,25/01/2022
2.5108,24/01/2022
2.5052,21/01/2022
2.5091,20/01/2022
2.505,19/01/2022
2.4996,18/01/2022
2.4803,17/01/2022
2.4927,14/01/2022
2.4973,13/01/2022
2.4791,12/1/2022
2.4746,11/1/2022
2.4621,10/1/2022
2.4428,7/1/2022
2.4342,6/1/2022
2.4309,5/1/2022
2.4268,4/1/2022
2.438,3/1/2022
2.4424,31/12/2021
2.4331,30/12/2021
2.4272,29/12/2021
2.4313,28/12/2021
2.4416,27/12/2021
2.4582,24/12/2021
2.4577,23/12/2021
2.4523,22/12/2021
2.4468,21/12/2021
2.4402,20/12/2021
2.4364,17/12/2021
2.4317,16/12/2021
2.4344,15/12/2021
2.4295,14/12/2021
2.4322,13/12/2021
2.4403,10/12/2021
2.4458,9/12/2021
2.4616,8/12/2021
2.4853,7/12/2021
2.4711,6/12/2021
2.4594,3/12/2021
2.4721,2/12/2021
2.4719,1/12/2021
2.4728,30/11/2021
2.4781,29/11/2021
2.494,26/11/2021
2.4917,25/11/2021
2.4969,24/11/2021
2.4428,23/11/2021
2.4445,22/11/2021
2.4474,19/11/2021
2.4436,18/11/2021
2.4445,17/11/2021
2.4667,16/11/2021
2.4761,15/11/2021
2.4705,12/11/2021
2.4818,11/11/2021
2.5008,10/11/2021
2.4963,9/11/2021
2.4929,8/11/2021
2.5014,5/11/2021
2.5155,4/11/2021
2.5278,3/11/2021
2.5242,2/11/2021
2.5329,1/11/2021
2.5594,29/10/2021
2.5755,28/10/2021
2.57,27/10/2021
2.5909,26/10/2021
2.5945,25/10/2021
2.6026,22/10/2021
2.6033,21/10/2021
2.6022,20/10/2021
2.6087,19/10/2021
2.6047,18/10/2021
2.6068,15/10/2021
2.6018,14/10/2021
2.6004,13/10/2021
2.5898,12/10/2021
2.5923,11/10/2021
2.5748,8/10/2021
2.5663,7/10/2021
2.5668,6/10/2021
2.5625,5/10/2021
2.5488,4/10/2021
2.5358,1/10/2021
2.5351,30/09/2021
2.5338,29/09/2021
2.5328,27/09/2021
2.5227,24/09/2021
2.525,23/09/2021
2.5106,22/09/2021
2.5117,20/09/2021
2.5378,17/09/2021
2.5381,14/09/2021
2.527,13/09/2021
2.5358,10/9/2021
2.5238,9/9/2021
2.5554,3/9/2021
2.5455,2/9/2021
2.5438,1/9/2021
2.5494,31/08/2021
2.5547,30/08/2021
2.553,27/08/2021
2.5558,26/08/2021
2.5611,25/08/2021
2.5523,24/08/2021
2.5394,23/08/2021
2.5125,20/08/2021
2.5424,19/08/2021
2.566,18/08/2021
2.5559,17/08/2021
2.5618,16/08/2021
2.5733,13/08/2021
2.5726,12/8/2021
2.5683,11/8/2021
2.5665,10/8/2021
2.5684,9/8/2021
2.5734,6/8/2021
2.568,5/8/2021
2.5632,4/8/2021
2.5721,3/8/2021
2.5886,2/8/2021
2.6019,30/07/2021
2.6009,29/07/2021
2.586,28/07/2021
2.5891,27/07/2021
2.599,26/07/2021
2.6026,23/07/2021
2.6046,22/07/2021
2.5943,21/07/2021
2.5854,20/07/2021
2.5815,19/07/2021
2.6096,16/07/2021
2.6056,15/07/2021
2.624,14/07/2021
2.6273,13/07/2021
2.6269,12/7/2021
2.6176,9/7/2021
2.608,8/7/2021
2.628,7/7/2021
2.6405,6/7/2021
2.6427,5/7/2021
2.63,2/7/2021
2.6328,1/7/2021
2.6292,30/06/2021
2.635,29/06/2021
2.6439,28/06/2021
2.6372,25/06/2021
2.6461,24/06/2021
2.6484,23/06/2021
2.6334,22/06/2021
2.6298,21/06/2021
2.6404,18/06/2021
2.6436,17/06/2021
2.6589,16/06/2021
2.6589,15/06/2021
2.6714,14/06/2021
2.6826,11/6/2021
2.678,10/6/2021
2.6861,9/6/2021
2.686,8/6/2021
2.6916,7/6/2021
2.6873,4/6/2021
2.6941,3/6/2021
2.6937,2/6/2021
2.6908,1/6/2021
2.6941,28/05/2021
2.6855,27/05/2021
2.6899,26/05/2021
2.6924,25/05/2021
2.7023,24/05/2021
2.6951,21/05/2021
2.6941,20/05/2021
2.704,19/05/2021
2.7199,18/05/2021
2.702,14/05/2021
2.7135,13/05/2021
2.7128,12/5/2021
2.7137,11/5/2021
2.6833,10/5/2021
2.6771,7/5/2021
2.6641,6/5/2021
2.6606,5/5/2021
2.6394,4/5/2021
2.6406,3/5/2021
2.6422,30/04/2021
2.6388,29/04/2021
2.6201,28/04/2021
2.6141,27/04/2021
2.6053,26/04/2021
2.6078,23/04/2021
2.6089,22/04/2021
2.5849,21/04/2021
2.5967,20/04/2021
2.614,19/04/2021
2.6201,16/04/2021
2.621,14/04/2021
2.6188,13/04/2021
2.6249,12/4/2021
2.6051,9/4/2021
2.6067,8/4/2021
2.6203,7/4/2021
2.6351,6/4/2021
2.6459,5/4/2021
2.6482,1/4/2021
2.6454,31/03/2021
2.6413,30/03/2021
2.6507,29/03/2021
2.644,26/03/2021
2.6289,25/03/2021
2.6207,24/03/2021
2.6456,22/03/2021
2.637,19/03/2021
2.6571,18/03/2021
2.6369,17/03/2021
2.6469,16/03/2021
2.6553,15/03/2021
2.638,12/3/2021
2.6268,11/3/2021
2.6251,10/3/2021
2.642,9/3/2021
2.6253,8/3/2021
2.6141,5/3/2021
2.6189,4/3/2021
2.605,3/3/2021
2.608,2/3/2021
2.607,1/3/2021
2.6275,25/02/2021
2.5965,24/02/2021
2.5878,23/02/2021
2.5884,22/02/2021
2.5793,19/02/2021
2.5734,18/02/2021
2.5638,17/02/2021
2.5625,16/02/2021
2.5644,15/02/2021
2.5491,12/2/2021
2.5705,11/2/2021
2.5627,10/2/2021
2.5578,9/2/2021
2.5704,8/2/2021
2.5685,5/2/2021
2.5752,4/2/2021
2.5804,3/2/2021
2.5743,2/2/2021
2.5674,1/2/2021
2.5615,29/01/2021
2.5616,28/01/2021
2.5611,27/01/2021
2.5688,26/01/2021
2.5697,25/01/2021
2.585,22/01/2021
2.5991,21/01/2021
2.56,20/01/2021
2.5402,19/01/2021
2.5271,18/01/2021
2.5451,15/01/2021
2.4585,14/01/2021
2.4622,13/01/2021
2.4785,12/1/2021
2.4916,11/1/2021
2.5142,8/1/2021
2.5026,7/1/2021
2.5186,6/1/2021
2.5113,5/1/2021
2.5281,4/1/2021
2.5217,31/12/2020
2.513,30/12/2020
2.5075,29/12/2020
2.5046,28/12/2020
2.5055,24/12/2020
2.5035,23/12/2020
2.5129,22/12/2020
2.5216,21/12/2020
2.5401,18/12/2020
2.5544,17/12/2020
2.5519,16/12/2020
2.5507,15/12/2020
2.5579,14/12/2020
2.5487,11/12/2020
2.5441,10/12/2020
2.546,9/12/2020
2.5367,8/12/2020
2.5546,7/12/2020
2.5405,4/12/2020
2.5332,3/12/2020
2.5398,2/12/2020
2.5477,1/12/2020
2.5538,30/11/2020
2.5543,27/11/2020
2.5536,26/11/2020
2.5549,25/11/2020
2.5596,24/11/2020
2.5587,23/11/2020
2.5608,20/11/2020
2.5573,19/11/2020
2.5581,18/11/2020
2.5667,17/11/2020
2.5649,16/11/2020
2.5575,13/11/2020
2.5817,12/11/2020
2.5957,11/11/2020
2.5921,10/11/2020
2.5911,9/11/2020
2.5842,6/11/2020
2.5768,5/11/2020
2.5905,4/11/2020
2.5962,3/11/2020
2.5564,2/11/2020
2.5677,30/10/2020
2.5534,29/10/2020
2.5603,28/10/2020
2.568,27/10/2020
2.564,26/10/2020
2.575,23/10/2020
2.5712,22/10/2020
2.5815,21/10/2020
2.5627,20/10/2020
2.566,19/10/2020
2.561,16/10/2020
2.5718,15/10/2020
2.5746,14/10/2020
2.5823,13/10/2020
2.576,12/10/2020
2.5676,9/10/2020
2.5625,8/10/2020
2.5621,7/10/2020
2.5711,6/10/2020
2.5791,5/10/2020
2.5793,2/10/2020
2.5762,1/10/2020
2.5697,30/09/2020
2.5904,29/09/2020
2.5976,25/09/2020
2.596,24/09/2020
2.5858,23/09/2020
2.5869,22/09/2020
2.5994,21/09/2020
2.591,17/09/2020
2.5918,16/09/2020
2.603,15/09/2020
2.6083,14/09/2020
2.6104,11/9/2020
2.5944,10/9/2020
2.5745,9/9/2020
2.5768,8/9/2020
2.5796,7/9/2020
2.5716,4/9/2020
2.5717,3/9/2020
2.5749,2/9/2020
2.5776,1/9/2020
2.572,31/08/2020
2.5728,28/08/2020
2.5613,27/08/2020
2.5806,26/08/2020
2.5759,25/08/2020
2.5897,24/08/2020
2.5827,21/08/2020
2.5768,20/08/2020
2.5868,19/08/2020
2.584,18/08/2020
2.5764,17/08/2020
2.5698,14/08/2020
2.5756,13/08/2020
2.5637,12/8/2020
2.5597,11/8/2020
2.5505,10/8/2020
2.5527,7/8/2020
2.5647,6/8/2020
2.5718,5/8/2020
2.5543,4/8/2020
2.5435,3/8/2020
2.5384,31/07/2020
2.5514,29/07/2020
2.5498,28/07/2020
2.5514,27/07/2020
2.5477,24/07/2020
2.5545,23/07/2020
2.547,22/07/2020
2.539,21/07/2020
2.5292,20/07/2020
2.5386,17/07/2020
2.5336,16/07/2020
2.5278,15/07/2020
2.5254,14/07/2020
2.5373,13/07/2020
2.5402,10/7/2020
2.55,9/7/2020
2.5413,8/7/2020
2.5424,7/7/2020
2.5412,6/7/2020
2.5324,3/7/2020
2.5363,2/7/2020
2.5425,1/7/2020
2.5308,30/06/2020
2.5162,29/06/2020
2.5162,26/06/2020
2.5274,25/06/2020
2.5257,24/06/2020
2.539,23/06/2020
2.5379,22/06/2020
2.5365,19/06/2020
2.5483,18/06/2020
2.5544,17/06/2020
2.5602,16/06/2020
2.5584,15/06/2020
2.556,12/6/2020
2.5561,11/6/2020
2.5739,10/6/2020
2.5653,9/6/2020
2.5806,8/6/2020
2.5652,5/6/2020
2.575,4/6/2020
2.5589,3/6/2020
2.5785,2/6/2020
2.559,1/6/2020
2.5436,28/05/2020
2.5464,27/05/2020
2.5317,26/05/2020
2.5149,22/05/2020
2.527,21/05/2020
2.5202,20/05/2020
2.5311,19/05/2020
2.5185,18/05/2020
2.5186,15/05/2020
2.5131,14/05/2020
2.506,13/05/2020
2.5076,12/5/2020
2.5135,11/5/2020
2.4984,7/5/2020
2.4928,6/5/2020
2.5065,5/5/2020
2.5007,4/5/2020
2.4895,1/5/2020
2.5226,30/04/2020
